Age,Gender,Income,City,Employment,WorkHours,Commute,DinnersCooked,EnjoysCooking,CookingSkill,CookingChallenges,DinnerTime,WhoCooks,CuisinePreferences,MealType,NonVegFrequency,DietGoals,Allergies,HealthImportance,CalorieTracking,OrderFrequency,SpendOutside,SpendMealKit,PaymentMode,TryMealKit,DeliveryPref,MealFreqSub,DesiredFeatures,ContinueService,ReferService,ReferralIncentive
29,Male,75k–1L,Hyderabad,Full-time,6–8,15–30 min,3–4,Yes,4,"Portioning issues, No time, Cleaning up, Too tired, Don't enjoy it, No ideas, Grocery hassle",8–9 PM,Alternates,"Vegan, Keto/High-protein, Healthy Superfoods, Chinese, Mexican, South Indian, Asian",Non-Vegetarian,Never,"Gut health, Immune boost, Balanced meals, Diabetes-friendly, Sustainable eating, High-protein",None,3,Never,5+,250–400,₹250,UPI,Definitely,On-demand,1–2,"Recipe variety, Fast delivery, Customizable, Cancel-anytime, No cleanup, Loyalty points",Maybe,Definitely,Free meals
27,Female,50k–75k,Mumbai,Full-time,6–8,60+ min,1–2,No,3,"No time, Too tired, Don't enjoy it, Portioning issues",Before 7 PM,Self,"Mexican, Fusion, South Indian, Chinese, Keto/High-protein",Non-Vegetarian,3–4,"Quick meal-prep, Immune boost, High-protein, Diabetes-friendly, Low-calorie",Nuts,2,Regularly,1–2 times,250–400,₹300+,UPI,Maybe,Daily,5–6,"Easy cooking, Family plans, App-based tracking, Recipe variety, Loyalty points",Maybe,Definitely,Discounts
34,Male,75k–1L,Delhi NCR,Homemaker,8–10,<15 min,Daily,No,1,"No ideas, Portioning issues, Cleaning up, Waste of ingredients, Grocery hassle, Not cost-effective, Too tired",8–9 PM,Parent,"Thai, Italian, Chinese, South Indian, Keto/High-protein, Healthy Superfoods, Vegan, Continental",Non-Vegetarian,3–4,"Weight loss, Sustainable eating, Gluten-free, Diabetes-friendly, Gut health, High-protein",None,2,Occasionally,1–2 times,250–400,₹250,Credit Card,Maybe,3x/week,3–4,"Cancel-anytime, Loyalty points, Customizable, Fast delivery, App-based tracking, Recipe variety, Family plans",Maybe,Definitely,Discounts
33,Female,50k–75k,Bangalore,Full-time,6–8,15–30 min,5–6,Yes,3,"Grocery hassle, Cleaning up, Don't enjoy it, No skills, No time, Portioning issues, No ideas",7–8 PM,Partner,"Chinese, Keto/High-protein, Mexican, Thai, Vegan",Vegan,3–4,"Low-carb, Gluten-free, Diabetes-friendly, Low-calorie, Weight loss, Gut health",None,4,Occasionally,5+,250–400,₹250,UPI,Unlikely,Weekly batch,5–6,"Family plans, Cancel-anytime, Loyalty points, Customizable, No cleanup, Easy cooking, Nutrition labels, App-based tracking",No,Definitely,Free meals
32,Male,30k–50k,Chennai,Full-time,6–8,15–30 min,1–2,Only on weekends,2,"Don't enjoy it, Portioning issues, Too tired, Cleaning up",8–9 PM,Partner,"Thai, Healthy Superfoods, Continental, Keto/High-protein, North Indian, Vegan, Italian",Vegetarian,3–4,"Low-calorie, Gut health, High-protein, Diabetes-friendly, Low-carb",None,2,Regularly,Never,150–250,₹200,UPI,Definitely,Weekly batch,5–6,"Easy cooking, Customizable, Family plans, Recipe variety, Fast delivery, Cancel-anytime, App-based tracking",Definitely,Definitely,Free meals
29,Female,1L–1.5L,Mumbai,Full-time,6–8,30–60 min,3–4,Yes,2,"Not cost-effective, Grocery hassle, Portioning issues, No ideas",8–9 PM,Partner,"Healthy Superfoods, North Indian, Continental, Italian",Non-Vegetarian,Never,"Gut health, Quick meal-prep, Immune boost, Weight loss, Low-calorie",None,5,Never,1–2 times,150–250,₹200,UPI,Unlikely,Weekly batch,5–6,"Cancel-anytime, Fast delivery, Recipe variety, No cleanup",Definitely,Definitely,Discounts
34,Male,50k–75k,Chennai,Full-time,8–10,<15 min,None,Yes,1,"Portioning issues, Don't enjoy it, No time, Waste of ingredients",After 9 PM,Partner,"Chinese, Vegan, Italian, Mexican",Non-Vegetarian,3–4,"Low-calorie, Muscle gain, Diabetes-friendly, Immune boost, Sustainable eating",None,4,Occasionally,Never,250–400,₹250,Debit Card,Definitely,Daily,3–4,"Easy cooking, Cancel-anytime, App-based tracking, Fast delivery, Loyalty points",Definitely,Maybe,Free meals
31,Male,1L–1.5L,Other,Full-time,6–8,15–30 min,Daily,No,2,"No skills, Grocery hassle, Portioning issues, No ideas, Don't enjoy it",7–8 PM,Self,"Healthy Superfoods, Keto/High-protein, Mexican, Asian, Fusion, Thai",Non-Vegetarian,1–2,"Balanced meals, Sustainable eating, Gluten-free, Low-carb, Muscle gain, Low-calorie, Gut health, High-protein",None,4,Occasionally,1–2 times,150–250,₹300+,UPI,Unlikely,Weekly batch,5–6,"Cancel-anytime, Nutrition labels, No cleanup, Family plans, Recipe variety",Definitely,Definitely,Free meals
38,Male,1.5L+,Mumbai,Full-time,8–10,60+ min,None,No,3,"Waste of ingredients, Portioning issues, No skills, Don't enjoy it, No ideas, Grocery hassle",7–8 PM,Self,"Vegan, North Indian, Healthy Superfoods, South Indian, Chinese, Italian, Continental",Eggetarian,5+,"Balanced meals, High-protein, Gut health, Sustainable eating",Eggs,3,Occasionally,Never,150–250,₹150,UPI,Definitely,3x/week,3–4,"No cleanup, App-based tracking, Easy cooking, Family plans, Customizable",Maybe,Definitely,Not important
31,Male,50k–75k,Delhi NCR,Full-time,<6,30–60 min,Daily,No,3,"No skills, Not cost-effective, Waste of ingredients, Grocery hassle, No ideas",8–9 PM,Partner,"Mexican, Thai, Chinese, Continental, Keto/High-protein, North Indian",Vegetarian,1–2,"Low-calorie, Immune boost, Weight loss, Balanced meals, Gut health, Quick meal-prep, Sustainable eating, Muscle gain",None,4,Never,5+,>400,₹250,UPI,Maybe,3x/week,1–2,"No cleanup, Easy cooking, Nutrition labels, App-based tracking, Customizable, Cancel-anytime",Definitely,Maybe,Discounts
30,Male,75k–1L,Mumbai,Full-time,6–8,60+ min,3–4,Only on weekends,2,"Grocery hassle, Not cost-effective, Cleaning up, Waste of ingredients, No ideas",After 9 PM,Partner,"Asian, Chinese, Continental, Vegan",Vegetarian,3–4,"Low-calorie, Muscle gain, High-protein, Sustainable eating",None,2,Never,1–2 times,150–250,₹250,UPI,Maybe,Weekly batch,5–6,"Fast delivery, Customizable, Easy cooking, App-based tracking, Loyalty points, No cleanup, Recipe variety, Nutrition labels",Definitely,No,Discounts
27,Female,30k–50k,Pune,Full-time,6–8,30–60 min,5–6,Only on weekends,3,"Cleaning up, No ideas, Portioning issues, Waste of ingredients, No time, Too tired, Grocery hassle",After 9 PM,Self,"Chinese, Mexican, Fusion, Keto/High-protein, Italian, North Indian",Vegan,1–2,"Weight loss, Balanced meals, Low-calorie, Low-carb, High-protein, Gut health",None,5,Regularly,1–2 times,250–400,₹300+,UPI,Definitely,On-demand,5–6,"Easy cooking, Loyalty points, Customizable, Family plans, App-based tracking",Maybe,Definitely,Free meals
32,Female,75k–1L,Delhi NCR,Student,10+,15–30 min,5–6,Yes,4,"No ideas, No time, Waste of ingredients, Portioning issues",8–9 PM,Partner,"Asian, Thai, North Indian, Keto/High-protein",Mixed,1–2,"Sustainable eating, Immune boost, Gluten-free, Muscle gain",None,4,Occasionally,1–2 times,250–400,₹250,Cash,Maybe,3x/week,5–6,"Nutrition labels, Cancel-anytime, Recipe variety, Customizable",Maybe,Definitely,Not important
29,Male,30k–50k,Chennai,Full-time,6–8,30–60 min,3–4,Yes,3,"Don't enjoy it, Grocery hassle, Not cost-effective, Cleaning up, Portioning issues, Too tired, No time, No ideas",7–8 PM,Hired help,"Keto/High-protein, Chinese, Continental, Mexican, Fusion, Vegan, Asian, Healthy Superfoods",Vegetarian,3–4,"Balanced meals, Gluten-free, Low-calorie, Gut health, Diabetes-friendly, Muscle gain",None,5,Regularly,5+,<150,₹150,Debit Card,Maybe,Weekly batch,3–4,"Loyalty points, Fast delivery, Easy cooking, Customizable, No cleanup, Recipe variety, Nutrition labels, Cancel-anytime",Maybe,Definitely,Free meals
32,Male,75k–1L,Delhi NCR,Full-time,8–10,15–30 min,5–6,No,4,"Don't enjoy it, Cleaning up, No time, Grocery hassle, Waste of ingredients, No ideas, Not cost-effective",7–8 PM,Hired help,"Italian, Keto/High-protein, North Indian, Asian, Vegan, Thai",Non-Vegetarian,Never,"High-protein, Muscle gain, Low-carb, Balanced meals",None,1,Occasionally,1–2 times,250–400,₹250,Credit Card,Definitely,Daily,1–2,"Nutrition labels, Easy cooking, Family plans, Customizable, Fast delivery, Recipe variety, Cancel-anytime, No cleanup",Definitely,Definitely,Free meals
37,Male,50k–75k,Delhi NCR,Consultant,6–8,30–60 min,None,Yes,3,"No time, Cleaning up, Too tired, No ideas, No skills, Waste of ingredients, Portioning issues, Grocery hassle",7–8 PM,Self,"Asian, Keto/High-protein, Continental, Vegan, Chinese, Thai, Healthy Superfoods",Mixed,3–4,"Balanced meals, Weight loss, Immune boost, Gut health",None,3,Regularly,1–2 times,150–250,₹200,Debit Card,Definitely,Weekly batch,Daily,"App-based tracking, Cancel-anytime, Fast delivery, Nutrition labels, Customizable",Maybe,Definitely,Free meals
33,Female,50k–75k,Delhi NCR,Full-time,6–8,<15 min,3–4,Yes,1,"Too tired, Waste of ingredients, Don't enjoy it, Not cost-effective, Portioning issues, No skills, Grocery hassle, No time",7–8 PM,Self,"Asian, Fusion, South Indian, Keto/High-protein, Mexican, Chinese, Thai, Italian",Non-Vegetarian,5+,"Gut health, Immune boost, Quick meal-prep, Gluten-free, Muscle gain, High-protein, Low-carb, Weight loss",None,3,Never,3–4 times,250–400,₹200,UPI,Definitely,Daily,3–4,"Easy cooking, App-based tracking, Recipe variety, Customizable, Family plans, Fast delivery",No,Maybe,Discounts
34,Female,75k–1L,Mumbai,Consultant,6–8,60+ min,3–4,Only on weekends,4,"No skills, Don't enjoy it, No ideas, No time, Cleaning up, Too tired",After 9 PM,Partner,"Asian, Italian, Fusion, Thai, Continental, Chinese, Keto/High-protein, Vegan",Vegetarian,3–4,"High-protein, Gluten-free, Immune boost, Muscle gain, Balanced meals, Diabetes-friendly",None,3,Never,5+,250–400,₹150,UPI,Maybe,On-demand,3–4,"No cleanup, Easy cooking, Family plans, Cancel-anytime, Customizable, App-based tracking, Loyalty points",Maybe,Maybe,Free meals
28,Female,75k–1L,Chennai,Full-time,6–8,15–30 min,1–2,Yes,2,"Too tired, Cleaning up, No ideas, No skills, No time, Not cost-effective, Waste of ingredients",8–9 PM,Partner,"North Indian, Fusion, Italian, Asian, Continental, South Indian, Mexican, Healthy Superfoods",Mixed,3–4,"Immune boost, Sustainable eating, Weight loss, Balanced meals, Gluten-free",None,4,Occasionally,1–2 times,150–250,₹250,Credit Card,Maybe,3x/week,5–6,"Customizable, Fast delivery, Cancel-anytime, App-based tracking, No cleanup, Recipe variety, Family plans",No,Maybe,Free meals
34,Male,50k–75k,Chennai,Homemaker,6–8,<15 min,5–6,Only on weekends,2,"No skills, No ideas, Grocery hassle, Too tired, Not cost-effective, Cleaning up",After 9 PM,Self,"Mexican, Italian, North Indian, Continental, Healthy Superfoods",Vegetarian,1–2,"High-protein, Gluten-free, Low-carb, Weight loss, Gut health, Muscle gain, Sustainable eating",None,4,Never,1–2 times,150–250,₹250,Debit Card,Definitely,Weekly batch,3–4,"Easy cooking, Nutrition labels, Family plans, App-based tracking",Maybe,Definitely,Free meals
33,Female,30k–50k,Delhi NCR,Full-time,<6,15–30 min,5–6,Yes,3,"Not cost-effective, Don't enjoy it, No time, Waste of ingredients",8–9 PM,Self,"Thai, Continental, North Indian, Italian, Chinese",Non-Vegetarian,Never,"Muscle gain, Gluten-free, High-protein, Immune boost",None,3,Never,3–4 times,<150,₹250,UPI,Definitely,3x/week,5–6,"Easy cooking, Fast delivery, Customizable, Loyalty points, Recipe variety, Nutrition labels",Maybe,Maybe,Discounts
31,Male,75k–1L,Pune,Full-time,8–10,15–30 min,5–6,No,2,"No skills, Not cost-effective, No time, No ideas, Cleaning up",Before 7 PM,Self,"Italian, Thai, Vegan, Continental",Vegan,1–2,"Weight loss, Gut health, Low-carb, Low-calorie, Gluten-free, Balanced meals",None,2,Never,1–2 times,<150,₹200,Wallets,Maybe,On-demand,3–4,"Cancel-anytime, App-based tracking, Fast delivery, Recipe variety, Family plans",Definitely,Definitely,Discounts
34,Male,1.5L+,Mumbai,Full-time,6–8,15–30 min,1–2,Yes,3,"No ideas, Not cost-effective, Waste of ingredients, Too tired, No time, Cleaning up, Portioning issues",7–8 PM,Alternates,"South Indian, Fusion, Continental, Italian",Non-Vegetarian,3–4,"Weight loss, Diabetes-friendly, Quick meal-prep, Sustainable eating, Immune boost",Nuts,4,Occasionally,3–4 times,150–250,₹300+,UPI,Definitely,Weekly batch,3–4,"Easy cooking, No cleanup, Fast delivery, Customizable, Loyalty points, Cancel-anytime, App-based tracking",No,Definitely,Discounts
31,Female,1.5L+,Mumbai,Freelancer,8–10,15–30 min,3–4,No,1,"Too tired, No skills, No ideas, Portioning issues, No time, Cleaning up, Don't enjoy it",After 9 PM,Partner,"Fusion, Italian, Keto/High-protein, South Indian",Non-Vegetarian,Never,"Diabetes-friendly, Gut health, Immune boost, Gluten-free, Low-carb, Weight loss",None,3,Never,1–2 times,150–250,₹200,Credit Card,Definitely,On-demand,1–2,"Easy cooking, Family plans, Recipe variety, Fast delivery",Maybe,Definitely,Free meals
31,Female,30k–50k,Other,Consultant,6–8,30–60 min,1–2,Only on weekends,2,"Cleaning up, No ideas, Don't enjoy it, Too tired, Grocery hassle, No time, Waste of ingredients, Not cost-effective",7–8 PM,Self,"Keto/High-protein, Chinese, Italian, Vegan, Thai, Continental",Vegetarian,Never,"Low-calorie, Diabetes-friendly, Immune boost, Muscle gain, High-protein, Quick meal-prep, Gluten-free, Sustainable eating",None,3,Never,1–2 times,250–400,₹300+,UPI,Unlikely,Daily,5–6,"Nutrition labels, Family plans, Customizable, Recipe variety",Definitely,Maybe,Discounts
35,Female,75k–1L,Chennai,Full-time,6–8,30–60 min,3–4,Yes,4,"No ideas, Not cost-effective, Portioning issues, Too tired",8–9 PM,Self,"Italian, Keto/High-protein, Fusion, Continental, Asian",Mixed,1–2,"Gluten-free, Low-carb, Sustainable eating, High-protein",None,4,Occasionally,Never,150–250,₹200,Debit Card,Definitely,On-demand,1–2,"App-based tracking, Fast delivery, Customizable, Recipe variety, Easy cooking, Cancel-anytime",No,Definitely,Free meals
34,Female,30k–50k,Delhi NCR,Full-time,6–8,15–30 min,None,Yes,2,"Not cost-effective, Grocery hassle, No time, Portioning issues, Cleaning up, Too tired, No skills, Don't enjoy it",8–9 PM,Parent,"North Indian, Continental, Keto/High-protein, Vegan, Chinese, Asian",Non-Vegetarian,Never,"Sustainable eating, Muscle gain, Low-calorie, High-protein, Diabetes-friendly, Weight loss, Low-carb, Immune boost",None,2,Occasionally,5+,250–400,₹150,Credit Card,Maybe,Daily,1–2,"Cancel-anytime, Loyalty points, App-based tracking, Easy cooking, Family plans, Fast delivery",Definitely,No,Discounts
32,Male,75k–1L,Pune,Part-time,6–8,15–30 min,3–4,No,3,"No time, Waste of ingredients, Don't enjoy it, Not cost-effective, Cleaning up, Too tired, No ideas",8–9 PM,Hired help,"Healthy Superfoods, Mexican, Thai, Chinese",Mixed,1–2,"Muscle gain, Gut health, Quick meal-prep, Balanced meals, Diabetes-friendly",None,5,Occasionally,3–4 times,250–400,₹150,Credit Card,Definitely,Weekly batch,3–4,"App-based tracking, Cancel-anytime, Nutrition labels, Fast delivery, Easy cooking, Family plans, Recipe variety, No cleanup",Definitely,Maybe,Free meals
32,Male,30k–50k,Other,Full-time,6–8,30–60 min,5–6,No,3,"Cleaning up, Not cost-effective, Too tired, No skills, No ideas, Grocery hassle",7–8 PM,Alternates,"Thai, Chinese, Mexican, Italian, Healthy Superfoods, Asian",Non-Vegetarian,5+,"Low-calorie, High-protein, Quick meal-prep, Muscle gain, Balanced meals, Low-carb",None,3,Never,5+,150–250,₹200,Debit Card,Definitely,Weekly batch,3–4,"Customizable, App-based tracking, Family plans, Cancel-anytime, Fast delivery, No cleanup, Easy cooking",Definitely,Maybe,Discounts
27,Male,1.5L+,Delhi NCR,Full-time,6–8,15–30 min,3–4,No,4,"No time, Don't enjoy it, No ideas, Too tired, Waste of ingredients",After 9 PM,Alternates,"Fusion, Chinese, Thai, Italian, Healthy Superfoods, Vegan, North Indian",Eggetarian,Never,"Low-carb, Muscle gain, Weight loss, Diabetes-friendly, Balanced meals, Sustainable eating, High-protein, Quick meal-prep",None,4,Occasionally,1–2 times,>400,₹300+,Cash,Unlikely,Daily,3–4,"Fast delivery, Family plans, Cancel-anytime, App-based tracking",Definitely,Definitely,Not important
36,Female,50k–75k,Mumbai,Full-time,6–8,15–30 min,1–2,Yes,2,"Grocery hassle, Too tired, No ideas, Cleaning up, Waste of ingredients, Don't enjoy it",After 9 PM,Partner,"Continental, Fusion, South Indian, Asian",Vegan,1–2,"Weight loss, Low-calorie, Balanced meals, Low-carb, Sustainable eating",None,5,Never,1–2 times,250–400,₹150,Debit Card,Maybe,Daily,1–2,"No cleanup, Recipe variety, Family plans, Fast delivery, Nutrition labels, App-based tracking",Definitely,Definitely,Not important
25,Male,50k–75k,Other,Full-time,8–10,60+ min,5–6,Only on weekends,3,"Too tired, No skills, Not cost-effective, Grocery hassle, Waste of ingredients",7–8 PM,Alternates,"North Indian, Vegan, Fusion, Chinese",Non-Vegetarian,Never,"Muscle gain, Sustainable eating, High-protein, Low-carb, Gut health, Weight loss",None,5,Occasionally,Never,<150,₹200,Credit Card,Maybe,Weekly batch,3–4,"Recipe variety, Family plans, Nutrition labels, Fast delivery",Definitely,Definitely,Discounts
28,Female,75k–1L,Mumbai,Homemaker,10+,15–30 min,1–2,Yes,2,"Portioning issues, Waste of ingredients, Cleaning up, Too tired, Not cost-effective",7–8 PM,Hired help,"Asian, Fusion, Italian, South Indian, Keto/High-protein, Thai, Chinese, Continental",Vegetarian,5+,"Weight loss, Low-calorie, Sustainable eating, Muscle gain",None,4,Occasionally,1–2 times,150–250,₹150,UPI,Unlikely,Weekly batch,1–2,"App-based tracking, Nutrition labels, Customizable, Easy cooking, Loyalty points, Fast delivery, Family plans",Definitely,Maybe,Free meals
30,Male,<30k,Bangalore,Part-time,8–10,30–60 min,1–2,Only on weekends,1,"Cleaning up, Waste of ingredients, Don't enjoy it, No skills, No ideas",After 9 PM,Alternates,"Chinese, Continental, Thai, Healthy Superfoods, North Indian, Vegan, Fusion, South Indian",Non-Vegetarian,1–2,"Weight loss, Gluten-free, Balanced meals, Muscle gain, Gut health, Sustainable eating, Low-carb",None,4,Occasionally,1–2 times,150–250,₹200,UPI,Unlikely,3x/week,3–4,"Loyalty points, Recipe variety, App-based tracking, Family plans",Definitely,Definitely,Discounts
27,Male,30k–50k,Bangalore,Full-time,6–8,30–60 min,None,Yes,3,"Cleaning up, No time, No skills, Not cost-effective, Grocery hassle, Waste of ingredients, Portioning issues, Too tired",7–8 PM,Alternates,"North Indian, Chinese, Fusion, South Indian, Mexican, Vegan",Non-Vegetarian,3–4,"Low-carb, Muscle gain, Gluten-free, Low-calorie, Balanced meals, Immune boost, Gut health",None,3,Occasionally,1–2 times,>400,₹200,Wallets,Maybe,Weekly batch,3–4,"Fast delivery, App-based tracking, Recipe variety, Nutrition labels, Family plans",Maybe,Maybe,Discounts
40,Female,75k–1L,Hyderabad,Full-time,6–8,15–30 min,3–4,Yes,2,"Waste of ingredients, Grocery hassle, Not cost-effective, Cleaning up, Portioning issues, Too tired, Don't enjoy it, No time",8–9 PM,Self,"Keto/High-protein, Vegan, Mexican, Asian, North Indian",Non-Vegetarian,3–4,"Gut health, Weight loss, Immune boost, Balanced meals",Soy,3,Never,Never,150–250,₹200,Credit Card,Definitely,Weekly batch,Daily,"Cancel-anytime, Nutrition labels, Loyalty points, Family plans, Recipe variety, Customizable, App-based tracking",Definitely,Maybe,Free meals
37,Male,75k–1L,Chennai,Full-time,10+,<15 min,Daily,No,1,"Too tired, Don't enjoy it, Grocery hassle, Portioning issues, No ideas",7–8 PM,Self,"Continental, Mexican, Healthy Superfoods, Chinese, Vegan, Asian",Non-Vegetarian,3–4,"High-protein, Balanced meals, Gut health, Quick meal-prep",None,4,Regularly,Never,150–250,₹200,Credit Card,Maybe,Weekly batch,5–6,"Loyalty points, Nutrition labels, Customizable, Easy cooking",No,Maybe,Free meals
39,Male,1.5L+,Chennai,Full-time,6–8,30–60 min,1–2,Only on weekends,1,"Too tired, No ideas, Portioning issues, No time",7–8 PM,Partner,"Continental, Fusion, Vegan, Italian, Keto/High-protein, Mexican, Healthy Superfoods, South Indian",Mixed,3–4,"Muscle gain, Gluten-free, Weight loss, High-protein",None,4,Never,1–2 times,250–400,₹300+,UPI,Maybe,Daily,3–4,"Cancel-anytime, Customizable, Fast delivery, Family plans, Loyalty points, App-based tracking, Easy cooking",Maybe,Maybe,Discounts
34,Female,1L–1.5L,Hyderabad,Full-time,6–8,30–60 min,3–4,No,3,"Waste of ingredients, No skills, Don't enjoy it, No time, No ideas, Too tired",7–8 PM,Self,"South Indian, Asian, Continental, Mexican, Healthy Superfoods",Vegetarian,Never,"High-protein, Quick meal-prep, Gut health, Gluten-free, Balanced meals, Weight loss, Diabetes-friendly, Low-carb",None,2,Regularly,5+,>400,₹300+,Credit Card,Definitely,3x/week,1–2,"Family plans, Cancel-anytime, No cleanup, Nutrition labels, Easy cooking, Customizable",Definitely,Definitely,Free meals
